PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
Carlos Boozer,CLE,81,25.3,10,4.1,7.6,53.6,0,0,0,1.8,2.4,77.1,2.5,5,7.5,1.3,0.7,0.6,1.3,14.8
Vlade Divac,SAC,80,29.8,9.9,3.8,8.2,46.6,0.1,0.3,24,2.2,3.1,71.3,2,5.2,7.2,3.4,1,1.3,1.9,15.7
Jumaine Jones,CLE,80,27.6,9.8,3.9,8.9,43.4,1.4,3.9,35.4,0.7,1,68.7,1.3,3.7,5.1,1.4,0.8,0.3,1.3,10.7
Joe Johnson,PHX,82,27.5,9.8,3.9,9.7,39.7,0.9,2.5,36.6,1.2,1.5,77.4,0.7,2.5,3.2,2.6,0.8,0.2,1.3,9
Jerome Williams,TOR,71,33,9.7,3.8,7.5,49.9,0,0.1,16.7,2.2,4,55.5,3.3,5.9,9.2,1.3,1.6,0.4,1.4,15.3
Dion Glover,ATL,76,24.9,9.7,3.6,8.5,42.7,0.7,2.1,35.4,1.7,2.1,78.4,0.8,2.9,3.7,1.9,0.9,0.2,1.4,9.6
Shane Battier,MEM,78,30.6,9.7,3.5,7.3,48.3,1.1,2.8,39.8,1.5,1.9,82.8,1.6,2.8,4.4,1.3,1.3,1.1,0.9,12.9
Malik Allen,MIA,80,29,9.6,4.2,9.9,42.4,0,0.1,0,1.2,1.5,80.2,1.7,3.6,5.3,0.7,0.5,1,1.6,9.4
Jay Williams,CHI,75,26.1,9.5,3.6,9.1,39.9,0.9,2.7,32.2,1.4,2.1,64,0.4,2.2,2.6,4.7,1.1,0.2,2.3,9.6
Predrag Drobnjak,SEA,82,24.2,9.4,4,9.6,41.2,0.4,1,35.3,1.1,1.4,79.1,1.4,2.5,3.9,1,0.6,0.5,0.8,8.7
Darrell Armstrong,ORL,82,28.7,9.4,3.2,7.8,40.9,1,2.8,33.6,2,2.3,87.8,1.1,2.5,3.6,3.9,1.6,0.2,2,11.9
Doug Christie,SAC,80,33.9,9.4,3.3,7,47.9,0.9,2.3,39.5,1.8,2.2,81,0.8,3.5,4.3,4.7,2.3,0.5,1.8,15.2
Tyson Chandler,CHI,75,24.4,9.2,3.4,6.5,53.1,0,0,0,2.4,3.9,60.8,2.3,4.6,6.9,1,0.5,1.4,1.8,12.6
Eric Williams,BOS,82,28.7,9.1,3.1,7,44.2,0.5,1.3,33.6,2.5,3.3,75,1.7,2.9,4.7,1.7,1,0.2,1.2,10.8
Howard Eisley,NYK,82,27.4,9.1,3.2,7.7,41.7,1.6,4.1,38.9,1.1,1.3,84.8,0.3,2,2.3,5.4,0.9,0.1,1.8,11.3
Rodney White,DEN,72,21.7,9,3.6,8.9,40.8,0.4,1.9,23.9,1.4,1.7,78.4,0.6,2.4,3,1.7,0.6,0.4,2.2,6.9
Aaron McKie,PHI,80,29.7,9,3.6,8.3,42.9,0.5,1.4,33,1.4,1.7,83.6,0.8,3.6,4.4,3.5,1.6,0.1,1.4,12.2
Rick Fox,LAL,76,28.7,9,3.4,8.2,42.2,1.4,3.7,37.5,0.7,0.9,75.4,0.8,3.4,4.3,3.3,0.9,0.2,1.6,11.1
Theo Ratliff,ATL,81,31.1,8.7,3.4,7.3,46.4,0,0,0,1.9,2.6,72,1.9,5.6,7.5,0.9,0.7,3.2,1.7,14.7
Kendall Gill,MIN,82,25.2,8.7,3.5,8.3,42.2,0.2,0.7,32.2,1.5,2,76.4,0.6,2.4,3,1.9,1,0.2,1.3,8.2
Calbert Cheaney,UTA,81,29,8.6,4,8,49.9,0.1,0.3,40,0.5,0.9,58,0.9,2.6,3.5,2,0.8,0.2,1.3,9.4
Tyronn Lue,WAS,75,26.5,8.6,3.3,7.6,43.3,0.8,2.3,34.1,1.2,1.4,87.5,0.3,1.7,2,3.5,0.6,0,1,9.2
Eddie Griffin,HOU,77,24.5,8.6,3.5,8.8,40,0.8,2.5,33.3,0.8,1.2,61.7,1.8,4.2,6,1.1,0.7,1.4,1,11.1
Zach Randolph,POR,77,16.9,8.4,3.4,6.7,51.3,0,0.1,0,1.6,2.1,75.8,1.8,2.6,4.5,0.5,0.5,0.2,0.8,9.6
Shandon Anderson,NYK,82,21.1,8.4,3,6.5,46.2,0.6,1.7,37.1,1.7,2.3,73.2,0.8,2.3,3.1,1.1,0.9,0.2,1.4,8.1
Travis Best,MIA,72,25.1,8.4,3.2,8.1,39.6,0.5,1.5,33,1.5,1.7,85.4,0.4,1.7,2,3.5,0.6,0.1,1.5,8.1
Ruben Patterson,POR,78,21.2,8.3,3.3,6.6,49.2,0,0.3,15,1.8,2.8,62.7,1.5,1.8,3.4,1.3,0.9,0.4,1.5,8.4
Christian Laettner,WAS,76,29.1,8.3,3.4,6.8,49.4,0,0.2,12.5,1.6,1.9,83.3,1.5,5.1,6.6,3.1,1.1,0.5,1.1,14.7
Erick Dampier,GSW,82,24.1,8.2,3.2,6.4,49.6,0,0,0,1.9,2.7,69.8,3,3.6,6.6,0.7,0.3,1.9,1.4,12.4
Shammond Williams,DEN,78,24.1,8,2.9,7.4,39.4,1.2,3.3,35.6,1,1.3,76.5,0.3,1.9,2.2,3.4,1,0.1,1.5,8.4
Donnell Harvey,DEN,77,20.9,7.9,3.2,7.2,44.6,0,0.1,14.3,1.5,2.3,67,1.6,3.7,5.3,1.3,0.6,0.4,1.6,9.2
Mike James,MIA,78,22.1,7.8,2.8,7.5,37.3,0.9,2.9,29.4,1.3,1.8,73.2,0.3,1.6,1.9,3.2,0.8,0.1,1.4,7.2
Jamaal Tinsley,IND,73,30.6,7.8,3,7.6,39.6,0.6,2.3,27.7,1.1,1.5,71.4,0.8,2.8,3.6,7.5,1.7,0.2,2.6,13.1
Othella Harrington,NYK,74,25,7.7,3,6,50.8,0,0,0,1.7,2,82,2.2,4.2,6.4,0.8,0.2,0.3,1.2,11
Ira Newble,ATL,73,26.5,7.7,3.2,6.4,49.5,0.4,1.2,38.1,1,1.2,77.8,1.2,2.5,3.7,1.4,0.7,0.4,0.9,9.4
Ron Mercer,IND,72,23.2,7.7,3.4,8.3,40.9,0,0.2,18.8,0.9,1.1,80.2,0.4,1.7,2.1,1.6,0.7,0.2,0.8,6.4
Anthony Peeler,MIN,82,27.4,7.7,3.1,7.4,41.4,1.1,2.6,41,0.5,0.6,78,0.5,2.5,2.9,3,0.9,0.2,1,9.1
Rasual Butler,MIA,72,21,7.5,2.9,7.9,36.2,0.7,2.4,29.2,1.1,1.4,73.1,0.4,2.2,2.6,1.3,0.3,0.6,1.1,5.7
Dale Davis,POR,78,29.3,7.4,3,5.6,54.1,0,0,0,1.3,2.1,63.3,3,4.2,7.2,1.2,0.7,0.9,0.9,13.1
Kwame Brown,WAS,80,22.2,7.4,2.8,6.3,44.6,0,0,0,1.8,2.7,66.8,1.6,3.7,5.3,0.7,0.6,1,1.4,9.3
Bruce Bowen,SAS,82,31.3,7.1,2.7,5.8,46.6,1.2,2.8,44.1,0.4,1.1,40.4,0.7,2.2,2.9,1.4,0.8,0.5,0.9,8.1
Jon Barry,DET,80,18.4,6.9,2.4,5.3,45,1.1,2.7,40.7,1.1,1.3,86,0.4,1.8,2.3,2.6,0.8,0.2,1,8.6
Ben Wallace,DET,73,39.4,6.9,2.9,6,48.1,0,0.1,16.7,1.2,2.6,45,4,11.4,15.4,1.6,1.4,3.2,1.2,22.8
Devean George,LAL,71,22.7,6.9,2.5,6.5,39,0.7,1.9,37.1,1.2,1.5,79,1.3,2.7,4,1.3,0.8,0.5,0.9,8.4
Mehmet Okur,DET,72,19,6.9,2.5,5.9,42.6,0.5,1.6,33.9,1.3,1.8,73.3,1.6,3,4.7,1,0.3,0.5,0.9,8.6
Shawn Kemp,ORL,79,20.7,6.8,2.7,6.4,41.8,0,0,0,1.5,2,74.2,1.9,3.8,5.7,0.7,0.8,0.4,1.3,8.9
Shawn Bradley,DAL,81,21.4,6.7,2.5,4.6,53.6,0,0,0,1.7,2.2,80.6,1.9,4,5.9,0.7,0.8,2.1,0.8,12.8
Keon Clark,SAC,80,22.3,6.7,2.8,5.6,50.1,0,0.1,0,1.1,1.6,65.6,1.7,3.9,5.6,1,0.5,1.9,1.2,11.2
Clar. Weatherspoon,NYK,79,25.6,6.6,2.4,5.2,44.9,0,0,0,1.9,2.5,76.8,2.7,4.9,7.6,0.9,0.9,0.5,0.8,12.1
Robert Horry,LAL,80,29.3,6.5,2.3,6,38.7,0.6,2.2,28.8,1.3,1.7,76.9,2.3,4.2,6.4,2.9,1.2,0.8,1.4,12.4
Kevin Ollie,SEA,82,23.1,6.5,2.4,5.4,45.1,0,0.1,33.3,1.6,2.2,75.3,0.3,1.9,2.2,3.5,0.8,0.1,0.9,8.8
Erick Strickland,IND,71,18,6.5,2.3,5.4,42.9,0.9,2.3,38.8,1,1.2,80.5,0.3,1.7,2,2.9,0.5,0.1,1.4,7.4
Mike Batiste,MEM,75,16.6,6.4,2.6,6.2,42.2,0.2,1.1,22.2,0.9,1.2,78.4,1.1,2.3,3.4,0.7,0.6,0.2,0.9,6.5
Brendan Haywood,WAS,81,23.8,6.2,2.1,4.2,51,0,0,0,1.9,3,63.3,2.4,2.6,5,0.4,0.4,1.5,0.8,9.4
Aaron Williams,NJN,81,19.7,6.2,2.5,5.4,45.3,0,0,0,1.3,1.6,78.5,1.7,2.4,4.1,1.1,0.3,0.7,1,8
Arvydas Sabonis,POR,78,15.5,6.1,2.2,4.6,47.6,0,0.1,50,1.7,2.1,78.7,1.1,3.2,4.3,1.8,0.8,0.6,1,9.8
Walter McCarty,BOS,82,23.8,6.1,2.1,5.1,41.4,1.1,3,36.7,0.7,1.2,62.2,0.8,2.7,3.5,1.3,1,0.3,0.8,7.9
Greg Buckner,PHI,75,20.2,6,2.5,5.3,46.5,0.2,0.7,27.3,0.9,1.1,80.2,1,1.9,2.9,1.3,1,0.2,0.8,7.5
Brian Skinner,PHI,77,17.9,6,2.4,4.3,55,0,0,0,1.3,2.1,60.2,1.8,3,4.8,0.2,0.6,0.7,0.8,8.7
Gary Trent,MIN,80,15.3,6,2.6,4.9,53.5,0,0,0,0.8,1.3,59.4,1.3,2.3,3.6,1,0.4,0.3,0.7,7.7
Jacque Vaughn,ORL,80,21.1,5.9,2.3,5.1,44.8,0.1,0.4,23.5,1.2,1.6,77.6,0.3,1.2,1.5,2.9,0.8,0,1.2,6.7
Jeff McInnis,POR,75,17.5,5.8,2.5,5.6,44.4,0.1,0.5,17.1,0.7,0.9,74.6,0.3,1,1.3,2.3,0.3,0,1,5.3
Mike Dunleavy,GSW,82,15.9,5.7,2,5.1,40.3,0.6,1.8,34.7,1,1.2,78,0.8,1.8,2.6,1.3,0.6,0.2,1,6.1
Scott Padgett,UTA,82,16.1,5.7,2.1,5.2,40.2,0.5,1.6,33.8,1,1.3,75.7,1,2.3,3.3,1,0.5,0.3,0.9,6.6
Jason Collins,NJN,81,23.5,5.7,1.7,4.2,41.4,0,0,0,2.2,2.9,76.3,1.7,2.9,4.5,1.1,0.6,0.5,1,8.2
Vladimir Stepania,MIA,79,20.2,5.6,2.3,5.4,43.3,0,0,0,0.9,1.7,53,2.7,4.3,7,0.3,0.6,0.5,0.9,9.2
Earl Watson,MEM,79,17.3,5.5,2.2,4.9,43.5,0.4,1.2,34.1,0.8,1.1,72.1,0.6,1.5,2.1,2.8,1.1,0.2,1.1,7.5
Marc Jackson,MIN,77,13.5,5.5,2,4.5,43.8,0,0,100,1.5,1.9,76.5,1.1,1.8,2.9,0.5,0.3,0.4,0.8,5.8
Greg Ostertag,UTA,81,23.8,5.4,2.1,4,51.8,0,0,0,1.2,2.4,51,2.2,4,6.2,0.7,0.2,1.8,1.3,10
Adonal Foyle,GSW,82,21.8,5.4,2.3,4.2,53.6,0,0,0,0.9,1.3,67.3,2.1,3.8,6,0.5,0.5,2.5,0.9,11.5
Casey Jacobsen,PHX,72,15.9,5.1,1.7,4.5,37.3,0.7,2.3,31.5,1,1.5,68.6,0.4,0.8,1.2,1,0.5,0.1,0.8,3.8
Junior Harrington,DEN,82,24.4,5.1,2.1,5.7,36.2,0.1,0.3,25,0.9,1.4,65.2,0.5,2.5,3,3.4,1,0.2,1.9,6.7
Milt Palacio,CLE,80,24.7,5,2,4.9,41.8,0.1,0.5,21.6,0.8,1.1,74.7,0.6,2.3,2.9,3.2,0.9,0.2,1.6,7.5
Mark Blount,BOS,81,17.3,5,1.9,4.3,43.2,0,0,0,1.2,1.7,72.7,1.4,2.4,3.8,0.7,0.5,0.8,1.3,6.6
Alan Henderson,ATL,82,18.2,4.8,1.9,4,46.8,0,0,0,1.1,1.7,63.8,1.9,3,4.9,0.5,0.4,0.4,0.7,7.5
Andrew DeClercq,ORL,77,17.2,4.7,1.9,3.6,53.4,0,0,0,0.9,1.4,64.4,1.8,2.6,4.4,0.7,0.5,0.5,1.1,7.5
Bo Outlaw,PHX,80,22.5,4.7,1.9,3.5,55,0,0,0,0.9,1.5,62.1,1.7,2.9,4.6,1.4,0.6,0.9,1,9.2
Mark Jackson,UTA,82,17.9,4.7,1.8,4.5,39.8,0.3,1.2,28.4,0.7,1,76.3,0.4,1.7,2.1,4.6,0.6,0,1.9,7.2
Kelvin Cato,HOU,73,17.1,4.5,1.8,3.5,52,0,0.1,0,0.9,1.7,53.2,1.8,4.1,5.9,0.3,0.5,1.2,0.8,9.1
Bryon Russell,WAS,70,19.8,4.5,1.5,4.4,35.3,0.7,2,32.9,0.8,1,76.8,0.6,2.4,3,1,1,0.1,0.8,5.8
George Lynch,NOH,81,18.5,4.5,1.8,4.4,40.9,0.3,1,35.4,0.5,0.9,55.4,1.7,2.6,4.4,1.3,0.8,0.2,0.6,7.5
Adrian Griffin,DAL,74,18.6,4.4,2,4.6,43.3,0.1,0.3,25,0.4,0.4,84.4,1.2,2.4,3.6,1.4,1,0.1,0.6,7.2
Michael Doleac,NYK,75,13.9,4.4,1.9,4.6,42.6,0,0,0,0.5,0.6,78.3,0.9,2.1,2.9,0.6,0.2,0.2,0.7,4.9
Moochie Norris,HOU,82,16.8,4.4,1.6,4,40.6,0.1,0.5,24.4,1,1.4,68.4,0.5,1.5,1.9,2.4,0.7,0,1,5.5
Sean Rooks,LAC,70,19.2,4.2,1.8,4.2,42.1,0,0,0,0.7,0.8,81,0.8,2.3,3.1,1,0.5,0.6,0.9,5.9
Kevin Willis,SAS,71,11.8,4.2,1.7,3.6,47.9,0,0,0,0.7,1.2,61.4,1.2,2,3.2,0.3,0.3,0.3,0.8,5.1
Trenton Hassell,CHI,82,24.4,4.2,1.8,4.8,36.7,0.2,0.5,32.5,0.5,0.7,74.5,0.5,2.7,3.1,1.8,0.5,0.7,1,6.2
Steve Kerr,SAS,75,12.7,4,1.5,3.4,43,0.7,1.7,39.5,0.4,0.5,88.2,0.2,0.6,0.8,0.9,0.4,0,0.5,3.7
Nikoloz Tskitishvili,DEN,81,16.3,3.9,1.4,4.9,29.3,0.5,1.9,24.3,0.6,0.8,73.8,0.8,1.4,2.2,1.1,0.4,0.4,1,3.3
Brian Shaw,LAL,72,12.5,3.5,1.4,3.6,38.7,0.5,1.5,34.9,0.1,0.2,66.7,0.3,1.4,1.7,1.4,0.4,0.2,0.8,4.1
Raja Bell,DAL,75,15.6,3.1,1.2,2.8,44.1,0.3,0.7,41.2,0.3,0.5,67.6,0.6,1.3,1.9,0.8,0.7,0.1,0.6,4.3
Stacey Augmon,NOH,70,12.3,3,1.1,2.7,41.1,0,0.1,0,0.8,1,75,0.4,1.3,1.7,1,0.4,0.1,0.6,3.8
Michael Curry,DET,78,19.9,3,1.2,2.9,40.2,0.2,0.7,29.6,0.5,0.6,80,0.2,1.4,1.6,1.3,0.6,0.1,0.6,4.2
Kareem Rush,LAL,76,11.5,3,1.3,3.2,39.3,0.3,0.9,27.9,0.2,0.3,69.6,0.3,0.9,1.2,0.9,0.1,0.1,0.8,2.5
Jeryl Sasser,ORL,75,13.7,2.6,0.9,2.8,30.9,0.2,0.6,29.5,0.7,1,67.9,0.9,1.6,2.5,0.9,0.6,0.2,0.5,3.9
Darvin Ham,ATL,75,12.3,2.4,0.9,2.1,44.7,0,0,0,0.5,1.1,48.1,1,1.1,2,0.5,0.2,0.3,0.9,2.8
Jeff Foster,IND,77,10.4,2.1,0.8,2.3,36,0,0,0,0.4,0.8,54,1.5,2.1,3.6,0.7,0.4,0.3,0.4,4.7
DeSagana Diop,CLE,80,11.8,1.5,0.7,1.9,35.1,0,0,0,0.1,0.4,36.7,0.8,1.9,2.7,0.5,0.4,1,0.7,4
